id,name,height,weight,base_experience,evolves_from_species_id,evolution_chain_id,color_id,shape_id,capture_rate,is_legendary
1,bulbasaur,7,69,64,,1,5,8,45,0
2,ivysaur,10,130,142,1,1,5,8,45,0
3,venusaur,20,1000,263,2,1,5,8,45,0
4,charmander,6,85,62,,2,8,6,45,0
5,charmeleon,11,190,142,4,2,8,6,45,0
6,charizard,17,905,267,5,2,8,6,45,0
7,squirtle,5,90,63,,3,2,6,45,0
8,wartortle,10,225,142,7,3,2,6,45,0
9,blastoise,16,855,265,8,3,2,6,45,0
10,caterpie,3,29,39,,4,5,14,255,0
11,metapod,7,99,72,10,4,5,2,120,0
12,butterfree,11,320,198,11,4,9,13,45,0
13,weedle,3,32,39,,5,3,14,255,0
14,kakuna,6,100,72,13,5,10,2,120,0
15,beedrill,10,295,178,14,5,10,13,45,0
16,pidgey,3,18,50,,6,3,9,255,0
17,pidgeotto,11,300,122,16,6,3,9,120,0
18,pidgeot,15,395,216,17,6,3,9,45,0
19,rattata,3,35,51,,7,7,8,255,0
20,raticate,7,185,145,19,7,3,8,127,0
21,spearow,3,20,52,,8,3,9,255,0
22,fearow,12,380,155,21,8,3,9,90,0
23,ekans,20,69,58,,9,7,2,255,0
24,arbok,35,650,157,23,9,7,2,90,0
25,pikachu,4,60,112,,10,10,8,190,0
26,raichu,8,300,243,25,10,10,6,75,0
27,sandshrew,6,120,60,,11,10,6,255,0
28,sandslash,10,295,158,27,11,10,6,90,0
29,nidoran-f,4,70,55,,12,2,8,235,0
30,nidorina,8,200,128,29,12,2,8,120,0
31,nidoqueen,13,600,253,30,12,2,6,45,0
32,nidoran-m,5,90,55,,13,7,8,235,0
33,nidorino,9,195,128,32,13,7,8,120,0
34,nidoking,14,620,253,33,13,7,6,45,0
35,clefairy,6,75,113,,14,6,6,150,0
36,clefable,13,400,242,35,14,6,6,25,0
37,vulpix,6,99,60,,15,3,8,190,0
38,ninetales,11,199,177,37,15,10,8,75,0
39,jigglypuff,5,55,95,,16,6,12,170,0
40,wigglytuff,10,120,218,39,16,6,12,50,0
41,zubat,8,75,49,,17,7,9,255,0
42,golbat,16,550,159,41,17,7,9,90,0
43,oddish,5,54,64,,18,2,7,255,0
44,gloom,8,86,138,43,18,2,12,120,0
45,vileplume,12,186,245,44,18,8,12,45,0
46,paras,3,54,57,,19,8,14,190,0
47,parasect,10,295,142,46,19,8,14,75,0
48,venonat,10,300,61,,20,7,12,190,0
49,venomoth,15,125,158,48,20,7,13,75,0
50,diglett,2,8,53,,21,3,5,255,0
51,dugtrio,7,333,149,50,21,3,11,50,0
52,meowth,4,42,58,,22,10,8,255,0
53,persian,10,320,154,52,22,10,8,90,0
54,psyduck,8,196,64,,23,10,6,190,0
55,golduck,17,766,175,54,23,2,6,75,0
56,mankey,5,280,61,,24,3,6,190,0
57,primeape,10,320,159,56,24,3,6,75,0
58,growlithe,7,190,70,,25,3,8,190,0
59,arcanine,19,1550,194,58,25,3,8,75,0
60,poliwag,6,124,60,,26,2,7,255,0
61,poliwhirl,10,200,135,60,26,2,12,120,0
62,poliwrath,13,540,255,61,26,2,12,45,0
63,abra,9,195,62,,27,3,6,200,0
64,kadabra,13,565,140,63,27,3,6,100,0
65,alakazam,15,480,250,64,27,3,12,50,0
66,machop,8,195,61,,28,4,6,180,0
67,machoke,15,705,142,66,28,4,12,90,0
68,machamp,16,1300,253,67,28,4,12,45,0
69,bellsprout,7,40,60,,29,5,12,255,0
70,weepinbell,10,64,137,69,29,5,5,120,0
71,victreebel,17,155,221,70,29,5,5,45,0
72,tentacool,9,455,67,,30,2,10,190,0
73,tentacruel,16,550,180,72,30,2,10,60,0
74,geodude,4,200,60,,31,3,4,255,0
75,graveler,10,1050,137,74,31,3,12,120,0
76,golem,14,3000,223,75,31,3,12,45,0
77,ponyta,10,300,82,,32,10,8,190,0
78,rapidash,17,950,175,77,32,10,8,60,0
79,slowpoke,12,360,63,,33,6,8,190,0
80,slowbro,16,785,172,79,33,6,6,75,0
81,magnemite,3,60,65,,34,4,4,190,0
82,magneton,10,600,163,81,34,4,11,60,0
83,farfetchd,8,150,132,,35,3,9,45,0
84,doduo,14,392,62,,36,3,7,190,0
85,dodrio,18,852,165,84,36,3,7,45,0
